genes	control	control	infected	infected	infected
CDKL5	156.711646534046	89.7920600648619	222.090692800969	137.89907569342	91.6814655340503
CDK11A	81.6587373832171	46.7885215560011	43.9288981840425	27.2760392586041	18.1343293319293
NADK	76.5270799386688	43.8482034387189	98.9455675004828	61.4366236162145	40.8458117813706
CYTH3	239.356624266434	137.145673971239	596.377745951315	370.298903090516	246.191252191328
ADAM22	98.5060880544372	56.4416542800921	35.7569979915404	22.2019973481004	14.7608796101167
SYPL1	2367.23451200792	1356.36928199622	1960.07976289456	1217.03968851484	809.142350629035
CYB561	420.64411750626	241.019111855527	192.353354727195	119.43476554049	79.4055673354332
SPAG9	3412.45435728366	1955.25548607675	5246.333108266	3257.51825655303	2165.74365174631
CELSR3	131.485581559829	75.338122585028	77.9994498381462	48.4308995645976	32.1990254603758
AASS	135.069847832195	77.3918222272352	222.146095936905	137.93347624006	91.7043365541449
SS18L2	522.851232646798	299.581366957362	911.364762312275	565.878546090373	376.221335487303
MPND	63.2460867874969	36.2385090661186	81.6534131196719	50.6996941402967	33.7074214423637
MGST1	3311.07836920854	1897.16944708923	2767.76631673477	1718.54305103703	1142.56418841212
CRY1	245.759835771898	140.814562435005	462.982043776503	287.471731004261	191.124048261758
NFIX	239.12380959557	137.01227668155	42.2854723765464	26.2556142377883	17.4559051952512
ST3GAL1	2390.04231271238	1369.43761135206	2773.93108569559	1722.37083837399	1145.10907242269
IL32	79.1169817868582	45.3321558280788	1069.45414324018	664.038352933069	441.482359918572
PKD1	628.684645920051	360.221404961409	613.25528605662	380.778393028376	253.158485225496
MAPK8IP2	25.6541365359394	14.6992123412269	26.1419973844332	16.2319151272305	10.7917022634534
MED24	364.236022948219	208.698610305569	451.582127237336	280.393370655582	186.41803810845
RHOBTB2	367.886097251295	210.790016390004	60.9765806282256	37.8611728457849	25.1717989833139
HEATR5B	110.781725763047	63.4753038067499	172.827147091365	107.310682577717	71.3449353936012
SEC62	27683.1280263154	15861.7763867483	12044.1482614195	7478.37242442524	4971.95604998136
RPS20	12398.6726620145	7104.14563955399	11326.9535644739	7033.05666376139	4675.89023983887
CSDE1	5263.07754813931	3015.61872254263	3296.36755052048	2046.75861302267	1360.77655555536
UBE3C	833.497113497203	477.574095699202	766.192691596176	475.739269582328	316.292717903168
REV3L	188.393670479032	107.945109056192	268.316900029923	166.601544803181	110.764149150285
TENM1	750.962090428385	430.283483209594	689.352491590608	428.028163712793	284.572243444775
PAX7	169.235784677396	96.9680944522236	23.998627777656	14.9010683280409	9.90689586183358
FAM76A	110.781134545386	63.4749650530399	126.940007783598	78.8187452662012	52.4022227213895
POMT2	230.619436122587	132.139472198993	204.464717439501	126.954872314669	84.4052702454229
VTA1	560.660823880205	321.245366807688	866.447148072012	537.988599834782	357.678853360278
MLXIPL	913.22683006634	523.25733403832	822.571335036983	510.745521853797	339.566438158105
BAZ1B	4674.09066280815	2678.14319373066	2873.25894402471	1784.04483146864	1186.11269803673
RANBP9	192.564493931373	110.334892063616	376.321977114101	233.663338848968	155.349825512101
ETV7	1.93321645043045	1.10768721709345	36.7078435926566	22.7923900740062	15.1533990674047
SPRTN	82.2401274485579	47.1216442869708	111.570883781987	69.2758510219158	46.0576803424568
METTL13	203.050716451598	116.343249088855	256.760315616708	159.425907280254	105.993464786123
DYRK4	1000.63276331043	573.338862638519	1123.245031043	697.437833186771	463.687826360876
ZNF207	1441.93582399892	826.195059408422	1650.73425687803	1024.96293459242	681.441144467354
UQCRC1	641.844424787251	367.761646421556	765.573154040086	475.354590443978	316.036966028205
STARD3NL	823.377018836809	471.775521261974	1268.33341836259	787.525149556893	523.581898524237
CD9	4393.67647321378	2517.4725077161	10356.5060002284	6430.4928172957	4275.27887791337
NCAPD2	870.69100281264	498.885312940047	1037.30665231172	644.077546701215	428.21152427754
GIPR	89.0399689498614	51.0177923399105	123.791914193655	76.8640519345065	51.102655277458
PHF7	124.404799130245	71.2810020372878	32.7964177997847	20.3637335883253	13.5387197465582
NISCH	120.470225671346	69.0265846779862	168.086882702931	104.367389144465	69.3881024409481
IDS	1276.92895238972	731.650031937027	1767.87166445427	1097.69511454182	729.796746676552
ZNF200	115.342818455907	66.0887018412714	188.388914525404	116.973191700659	77.7690030871147
LRRC23	697.521230465407	399.663136771774	459.559096449543	285.346377318422	189.711018190918
HFE	402.123111428153	230.407014241801	68.1468759325937	42.3133049115232	28.131775259337
SCMH1	87.7071914780085	50.2541424296933	83.0394504169156	51.5603031993976	34.2795927886435
FYN	28.5390191163011	16.3521817003335	73.0742506881322	45.3727776693158	30.1658494167268
HIVEP2	157.650905392578	90.3302331343627	212.513722737524	131.952607144753	87.7279876115009
TCEB3	313.62274292408	179.698400171092	522.440337698905	324.390179367853	215.669081897388
LYPLA2	1199.76344528626	687.436024860895	1326.54277264302	823.668114625564	547.61135622422
CLCN6	183.677618143202	105.242922818133	384.320223788152	238.629556971886	158.65158916339
MRC2	2040.6210754018	1169.22752216948	1287.79480142547	799.608982077025	531.615770173796
TSPAN9	360.535639251423	206.578378130652	608.800975456851	378.012652119503	251.3196971224
BTBD7	855.853368029195	490.383699797937	595.084117035017	369.495671628639	245.657228034766
APBA3	186.110924379928	106.637149632774	261.076810812172	162.106076764993	107.77536118394
MKS1	175.264873552754	100.422619514054	99.527789040989	61.7981327423829	41.0861591972208
ABHD5	25.499805346482	14.6107842266603	37.4232301146404	23.2365831147002	15.4487184431588
AKAP8L	210.875263147182	120.826528936965	404.08846237866	250.903920185121	166.812134128814
MBTD1	337.529698027899	193.396518952479	163.257583119361	101.368812570084	67.3945147865502
UTP18	594.315575016234	340.528741734247	696.089877791697	432.211496737705	287.353510111084
RNF216	953.111507602554	546.11030916944	743.498743972034	461.648294576866	306.924408269415
TTC19	979.706104979491	561.348383287638	734.331275775645	455.956091203609	303.139977193616
PTBP1	1128.69131351717	646.713377464284	1431.24171694355	888.67708669473	590.832224835507
SYT7	496.060444926603	284.230880421353	133.343454544438	82.794730835138	55.045635536663
LARS2	102.435281105184	58.692988793015	89.4758364173981	55.5567411819114	36.9366032820815
PIK3C2A	1438.69318407899	824.337103571066	1587.94635081021	985.977085603072	655.521610544015
PLAUR	4089.73109477416	2343.31900808224	12336.0900023663	7659.64294830518	5092.4727916917
ANLN	383.620551779773	219.805485995206	1346.80872595239	836.251515551382	555.977363265822
WIZ	194.414459505576	111.394878501323	123.597153776484	76.7431225917644	51.0222560484355
RABGAP1	1219.19053619518	698.567287612317	964.315815432129	598.756561779058	398.080108992729
QPCTL	33.8646579477717	19.4036465557887	22.9443363731015	14.2464447219546	9.47167284617966
PPP5C	333.347132156403	191.000007817125	275.990120239809	171.365949655948	113.931738324489
CEP68	412.204073373	236.183166560299	341.570703450439	212.085809160758	141.004119897528
MAP4K3	204.063280834096	116.92342448656	237.663310383359	147.568321818304	98.1100122874001
ZBTB32	0.639469553319576	0.366400901344926	114.876437822314	71.3283136490835	47.4222491814166
TMEM159	677.44243692426	388.15846385466	793.632947412105	492.777290699218	327.620355437661
BRCA1	131.605935957986	75.4070828032845	150.714042952219	93.5803610453626	62.2164042993205
ERCC1	694.850749637213	398.133014536251	1180.52383560253	733.003007512474	487.333142964765
CD22	12.6870112499372	7.26935681803619	42.7987801353319	26.5743338770044	17.6678042487502
SEMA3B	1150.45243223774	659.181982845258	2132.5740811656	1324.14371323532	880.349890647647
MBTPS2	1033.25443467286	592.030307334394	404.407905775334	251.102266854142	166.944003854614
PRICKLE3	21.1072780331984	12.093970160354	31.7922220737531	19.740215057726	13.1241767745656
EXTL3	316.627806344554	181.420230303809	509.941380791215	316.629410184036	210.509375866974
NR1H4	48.9410984908479	28.0420897394874	19.1538840126721	11.892902255267	7.90693268053662
ELOVL5	1780.0731144033	1019.93971439527	3012.74851319892	1870.65576691759	1243.69551687221
ALOX5	90.802412360138	52.0276306515901	84.0046295340014	52.159595796697	34.6780292779951
CALCOCO1	526.170986771117	301.483507406551	509.822849797666	316.555812707954	210.460444977243
UBR7	288.779242887993	165.463663335645	557.96119225369	346.445552103959	230.332478915664
MAP4K5	728.588295736631	417.463829014942	582.879682239843	361.917775155852	240.61910395165
PSMC4	2697.90000088094	1545.8327717555	7732.88024237522	4801.44856329971	3192.21748772522
MAN2B2	310.201384264226	177.738042730637	254.914580862904	158.279865934196	105.231525305086
SLC25A39	1903.8771809471	1090.87651089533	2248.41651804739	1396.07182859488	928.170914799598
MVP	838.41402048979	480.391366896183	779.950256591324	484.281525327927	321.971991109207
NUB1	3334.86152792081	1910.79663347171	3124.65462821424	1940.13976748705	1289.89158433201
PGM3	1647.97384877945	944.249965383258	2341.96059933023	1454.1545973179	966.78693402978
RWDD2A	194.588270486523	111.494468074825	102.747901855223	63.7975437717743	42.4154569641405
CLK1	1617.68644361842	926.895999908605	2561.33574362828	1590.3675526979	1057.34739145972
POLR3B	50.7834252908566	29.0976993405871	64.3728264015759	39.9699471805671	26.5738063609649
ANGEL1	195.013907317766	111.738347893346	155.32587477597	96.4439089848466	64.12021888545
RNF14	351.67621142625	201.502135917566	437.508510623153	271.654874240972	180.608295339494
DNASE1L1	519.069379671857	297.414454816543	672.454720460202	417.536112061398	277.596658822312
DDX11	238.4377366723	136.619173153526	206.030323401533	127.926977954674	85.0515694992894
HEBP1	452.406763451775	259.218355342762	512.180634843772	318.019792915505	211.43376441587
GPRC5A	1591.90236225423	912.122332259929	4463.42689761424	2771.40133989202	1842.55141049111
MAMLD1	49.1476404012073	28.160433359959	174.505979014767	108.35309172851	72.0379755619289
TACC3	868.89368632456	497.85549318113	1223.42205497575	759.639084539629	505.041996817828
UFL1	3193.15224457634	1829.60057202231	1743.76861949391	1082.72921219125	719.846746260375
POLA2	48.2092353500635	27.62274950186	121.461661585741	75.4171669853408	50.1407015302582
ZC3H3	64.4440253708816	36.9248994883514	96.3897108881517	59.8496581292762	39.7907262351996
CAPN1	434.405569697882	248.90409787347	320.668787682133	199.107530655164	132.375580601534
ACPP	36.927792313317	21.1587499639967	5.40423495185769	3.35556161896037	2.23092725871532
MDH1	3066.16019750887	1756.83713822375	3308.70807277324	2054.42100801442	1365.87085802846
SLC30A9	891.948192364055	511.065178848074	710.292267255788	441.029949933721	293.216411720023
MTMR11	406.874229713442	233.129292437986	618.766166205734	384.200172073845	255.433436787316
COX15	318.95351206446	182.752804571986	215.748998186736	133.961432856597	89.0635446798733
CCDC88C	109.714912210736	62.8640449202172	44.0661792768577	27.3612789216023	18.1910004675841
YAF2	975.519210163783	558.949391769828	1183.83581075342	735.059457092903	488.700362508351
ZMYND11	1316.10772457503	754.098540029034	207.981482548391	129.138478713617	85.8570293221124
BID	538.100503069789	308.318837566919	732.857553209835	455.041037190805	302.531608410034
MATR3	46.0324227999213	26.3754874918227	15.9128838921298	9.88052201857889	6.56901240526583
XYLT2	278.470622653868	159.557068211924	149.714224094277	92.9595601705839	61.8036681463164
NUDCD3	557.419258125068	319.388026441309	649.066675623226	403.014162831469	267.941818272323
ISL1	63.1163124877942	36.1641514674876	100.173927472867	62.1993287195859	41.3528922044682
CHDH	478.398937117078	274.111254949073	43.7952188781388	27.1930359931769	18.0791450532805
GLT8D1	944.81574502994	541.357033789602	574.698359054919	356.837882383573	237.241764315569
ATP2C1	677.517194313915	388.2012980675	636.09248266146	394.958313238083	262.585929604254
RALBP1	3755.54069167937	2151.83582599935	2635.53896522494	1636.44132347416	1087.97929240763
RUFY3	333.630183984881	191.162189807719	279.478431521065	173.531888693507	115.371751350119
CNTN1	4948.78429121454	2835.53613373747	1646.91906317527	1022.59402989602	679.866190805163
WWTR1	3615.23093944302	2071.44166271197	2615.10460165551	1623.75335436988	1079.54376376987
