genes	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control	infected	control
ELF3	12.3548027598959	31.2446011694608	12.3548027598959	84.7328629129218	12.3548027598959	48.0225382995373	27.0788567816259	48.0225382995373	20.5663407172442	31.2446011694608	20.5663407172442	48.0225382995373	20.5663407172442	84.7328629129218	27.0788567816259	84.7328629129218	27.0788567816259	31.2446011694608
NFKB2	3.70644081229444	13.7171417894522	3.70644081229444	37.1997929657944	3.70644081229444	21.0830653069116	8.12365700013329	21.0830653069116	6.1699021890811	13.7171417894522	6.1699021890811	21.0830653069116	6.1699021890811	37.1997929657944	8.12365700013329	37.1997929657944	8.12365700013329	13.7171417894522
SHMT2	64.2329042719952	124.058131849884	64.2329042719952	336.435745243049	64.2329042719952	190.67570604656	140.783600454978	190.67570604656	106.924879351705	124.058131849884	106.924879351705	190.67570604656	106.924879351705	336.435745243049	140.783600454978	336.435745243049	140.783600454978	124.058131849884
ZNF852	5.35374783960469	18.0990064502096	5.35374783960469	49.0830599529192	5.35374783960469	27.8179332718863	11.7341712215903	27.8179332718863	8.91208093915762	18.0990064502096	8.91208093915762	27.8179332718863	8.91208093915762	49.0830599529192	11.7341712215903	49.0830599529192	11.7341712215903	18.0990064502096
NEDD4	8.03065692253357	23.4335855264103	8.03065692253357	63.5500123428785	8.03065692253357	36.0171106788668	17.601333901788	36.0171106788668	13.3681799428025	23.4335855264103	13.3681799428025	36.0171106788668	13.3681799428025	63.5500123428785	17.601333901788	63.5500123428785	17.601333901788	23.4335855264103
PCK2	24.9155184844784	51.4392813353177	24.9155184844784	139.499222604412	24.9155184844784	79.0614943243519	54.6090269341402	79.0614943243519	41.4754530895398	51.4392813353177	41.4754530895398	79.0614943243519	41.4754530895398	139.499222604412	54.6090269341402	139.499222604412	54.6090269341402	51.4392813353177
VCAN	26.5628257486543	57.9168200966167	26.5628257486543	157.065790373911	26.5628257486543	89.0173856338324	58.2195416747516	89.0173856338324	44.2176322339132	57.9168200966167	44.2176322339132	89.0173856338324	44.2176322339132	157.065790373911	58.2195416747516	157.065790373911	58.2195416747516	57.9168200966167
SLC1A5	42.0061781173038	85.9228035015416	42.0061781173038	233.015780572874	42.0061781173038	132.062211310589	92.0677815168555	132.062211310589	69.925306634114	85.9228035015416	69.925306634114	132.062211310589	69.925306634114	233.015780572874	92.0677815168555	233.015780572874	92.0677815168555	85.9228035015416
JMY	4.32418497977623	14.4792616455698	4.32418497977623	39.2666011462345	4.32418497977623	22.2544334348242	9.47760867091374	22.2544334348242	7.19822593260218	14.4792616455698	7.19822593260218	22.2544334348242	7.19822593260218	39.2666011462345	9.47760867091374	39.2666011462345	9.47760867091374	14.4792616455698
NOSTRIN	7.82470837100022	20.5757126472138	7.82470837100022	55.7996893484471	7.82470837100022	31.6245979035536	17.1499425328009	31.6245979035536	13.025349048342	20.5757126472138	13.025349048342	31.6245979035536	13.025349048342	55.7996893484471	17.1499425328009	55.7996893484471	17.1499425328009	20.5757126472138
AMOTL2	16.8848970300485	40.5798777099441	16.8848970300485	110.049387296409	16.8848970300485	62.3707347374011	37.0077707701936	62.3707347374011	28.1073321884814	40.5798777099441	28.1073321884814	62.3707347374011	28.1073321884814	110.049387296409	37.0077707701936	110.049387296409	37.0077707701936	40.5798777099441
VIM	204.888703256506	380.096361761749	204.888703256506	1030.79097538099	204.888703256506	584.203075315919	449.068427839694	584.203075315919	341.066625034744	380.096361761749	341.066625034744	584.203075315919	341.066625034744	1030.79097538099	449.068427839694	1030.79097538099	449.068427839694	380.096361761749
FILIP1L	10.0898050900436	27.8152470185892	10.0898050900436	75.4327283530451	10.0898050900436	42.7516663764264	22.1145082036188	42.7516663764264	16.7959273235835	27.8152470185892	16.7959273235835	42.7516663764264	16.7959273235835	75.4327283530451	22.1145082036188	75.4327283530451	22.1145082036188	27.8152470185892
UACA	15.2375899183884	33.9118229375582	15.2375899183884	91.9661553210661	15.2375899183884	52.1220228414303	33.3972563638615	52.1220228414303	25.3651532979926	33.9118229375582	25.3651532979926	52.1220228414303	25.3651532979926	91.9661553210661	33.3972563638615	91.9661553210661	33.3972563638615	33.9118229375582
SEMA6A	35.8289315497257	73.5390886551949	35.8289315497257	199.432134978004	35.8289315497257	113.028605559829	78.5286924387836	113.028605559829	59.6423939828796	73.5390886551949	59.6423939828796	113.028605559829	59.6423939828796	199.432134978004	78.5286924387836	199.432134978004	78.5286924387836	73.5390886551949
ITGAV	62.3920536023031	118.129513592746	62.3920536023031	320.357806039392	62.3920536023031	181.563498283926	136.748883542883	181.563498283926	103.860519457159	118.129513592746	103.860519457159	181.563498283926	103.860519457159	320.357806039392	136.748883542883	320.357806039392	136.748883542883	118.129513592746
GARS	76.59634582417	140.416854963799	76.59634582417	380.799295781714	76.59634582417	215.818846872993	167.881391461895	215.818846872993	127.505600577392	140.416854963799	127.505600577392	215.818846872993	127.505600577392	380.799295781714	167.881391461895	380.799295781714	167.881391461895	140.416854963799
ZBTB10	8.44244851495601	22.0998395644855	8.44244851495601	59.9329998183947	8.44244851495601	33.9671607950132	18.5038853849473	33.9671607950132	14.0536660941271	22.0998395644855	14.0536660941271	33.9671607950132	14.0536660941271	59.9329998183947	18.5038853849473	59.9329998183947	18.5038853849473	22.0998395644855
JUNB	1.64730702750043	10.0973404619667	1.64730702750043	27.3831808736666	1.64730702750043	15.5194785949841	3.61051422187382	15.5194785949841	2.74217875039311	10.0973404619667	2.74217875039311	15.5194785949841	2.74217875039311	27.3831808736666	3.61051422187382	27.3831808736666	3.61051422187382	10.0973404619667
ANXA3	5.55966121972462	18.8610699316964	5.55966121972462	51.1497152498632	5.55966121972462	28.9892147527378	12.1854855030119	28.9892147527378	9.2548532857573	18.8610699316964	9.2548532857573	28.9892147527378	9.2548532857573	51.1497152498632	12.1854855030119	51.1497152498632	12.1854855030119	18.8610699316964
ICAM1	8.23653514119484	23.0524188068445	8.23653514119484	62.5163186426208	8.23653514119484	35.4312624777782	18.0525711174626	35.4312624777782	13.7108937581125	23.0524188068445	13.7108937581125	35.4312624777782	13.7108937581125	62.5163186426208	18.0525711174626	62.5163186426208	18.0525711174626	23.0524188068445
STX3	17.2967238138138	38.484203435676	17.2967238138138	104.366086042903	17.2967238138138	59.1497111258798	37.9103993845993	59.1497111258798	28.7928769208424	38.484203435676	28.7928769208424	59.1497111258798	28.7928769208424	104.366086042903	37.9103993845993	104.366086042903	37.9103993845993	38.484203435676
STK24	4.53009432555441	13.7171417866208	4.53009432555441	37.1997929581161	4.53009432555441	21.0830653025599	9.92891410999568	21.0830653025599	7.54099156346155	13.7171417866208	7.54099156346155	21.0830653025599	7.54099156346155	37.1997929581161	9.92891410999568	37.1997929581161	9.92891410999568	13.7171417866208
AKNA	8.44244851445432	22.4808712192704	8.44244851445432	60.9663272337541	8.44244851445432	34.5528014033218	18.5038853838477	34.5528014033218	14.053666093292	22.4808712192704	14.053666093292	34.5528014033218	14.053666093292	60.9663272337541	18.5038853838477	60.9663272337541	18.5038853838477	22.4808712192704
SREBF1	30.6810932425665	57.3452735078444	30.6810932425665	155.515801673715	30.6810932425665	88.1389260945212	67.2458270654066	88.1389260945212	51.0730789853158	57.3452735078444	51.0730789853158	88.1389260945212	51.0730789853158	155.515801673715	67.2458270654066	155.515801673715	67.2458270654066	57.3452735078444
GLS	33.9757076710591	66.8710683562178	33.9757076710591	181.348996491793	33.9757076710591	102.779946649031	74.4668563277614	102.779946649031	56.5574371078326	66.8710683562178	56.5574371078326	102.779946649031	56.5574371078326	181.348996491793	74.4668563277614	181.348996491793	74.4668563277614	66.8710683562178
CPEB4	6.17740136453418	18.8610698993185	6.17740136453418	51.1497151620568	6.17740136453418	28.9892147029733	13.5394283570296	28.9892147029733	10.2831703329637	18.8610698993185	10.2831703329637	28.9892147029733	10.2831703329637	51.1497151620568	13.5394283570296	51.1497151620568	13.5394283570296	18.8610698993185
NRP2	1.8532204054419	9.33527703375189	1.8532204054419	25.3165257211922	1.8532204054419	14.348197196011	4.06182849852075	14.348197196011	3.08495109336644	9.33527703375189	3.08495109336644	14.348197196011	3.08495109336644	25.3165257211922	4.06182849852075	25.3165257211922	4.06182849852075	9.33527703375189
DAGLA	3.50052776428919	13.1456221621699	3.50052776428919	35.6498773830061	3.50052776428919	20.2046472070536	7.67234344662988	20.2046472070536	5.8271303953339	13.1456221621699	5.8271303953339	20.2046472070536	5.8271303953339	35.6498773830061	7.67234344662988	35.6498773830061	7.67234344662988	13.1456221621699
AFF4	23.2682118234804	47.0574175413427	23.2682118234804	127.615957967932	23.2682118234804	72.3266276916103	50.9985135155544	72.3266276916103	38.7332749492425	47.0574175413427	38.7332749492425	72.3266276916103	38.7332749492425	127.615957967932	50.9985135155544	127.615957967932	50.9985135155544	47.0574175413427
PRSS23	5.35374783889491	15.8128162077196	5.35374783889491	42.8830946098151	5.35374783889491	24.3040891397578	11.7341712200346	24.3040891397578	8.91208093797608	15.8128162077196	8.91208093797608	24.3040891397578	8.91208093797608	42.8830946098151	11.7341712200346	42.8830946098151	11.7341712200346	15.8128162077196
ZFP36L1	8.85425230044485	23.052299861301	8.85425230044485	62.5159960718069	8.85425230044485	35.4310796600528	19.4064635924749	35.4310796600528	14.7391725425592	23.052299861301	14.7391725425592	35.4310796600528	14.7391725425592	62.5159960718069	19.4064635924749	62.5159960718069	19.4064635924749	23.052299861301
TMCO3	18.94403081848	41.5324570383753	18.94403081848	112.632706354056	18.94403081848	63.8348365524579	41.5209135564258	63.8348365524579	31.5350556332247	41.5324570383753	31.5350556332247	63.8348365524579	31.5350556332247	112.632706354056	41.5209135564258	112.632706354056	41.5209135564258	41.5324570383753
KDM6B	25.1214323128473	52.2013448963565	25.1214323128473	141.565878117095	25.1214323128473	80.2327759274738	55.0603421980193	80.2327759274738	41.8182261823141	52.2013448963565	41.8182261823141	80.2327759274738	41.8182261823141	141.565878117095	55.0603421980193	141.565878117095	55.0603421980193	52.2013448963565
CCNL1	12.9725428395751	29.5299580173158	12.9725428395751	80.0828876302385	12.9725428395751	45.3871544776305	28.432799492893	45.3871544776305	21.5946576560317	29.5299580173158	21.5946576560317	45.3871544776305	21.5946576560317	80.0828876302385	28.432799492893	80.0828876302385	28.432799492893	29.5299580173158
MPHOSPH10	22.0327314841726	43.8186473569224	22.0327314841726	118.832671903421	22.0327314841726	67.348680801485	48.290627698613	67.348680801485	36.6766407721158	43.8186473569224	36.6766407721158	67.348680801485	36.6766407721158	118.832671903421	48.290627698613	118.832671903421	48.290627698613	43.8186473569224
IRF2BP2	61.7719342305292	109.746861871264	61.7719342305292	297.624724080345	61.7719342305292	168.679473579524	135.389725976217	168.679473579524	102.828241845519	109.746861871264	102.828241845519	168.679473579524	102.828241845519	297.624724080345	135.389725976217	297.624724080345	135.389725976217	109.746861871264
VPS18	8.03062175784058	21.5282919397785	8.03062175784058	58.3830083088268	8.03062175784058	33.0886996634841	17.6012568289521	33.0886996634841	13.3681214061288	21.5282919397785	13.3681214061288	33.0886996634841	13.3681214061288	58.3830083088268	17.6012568289521	58.3830083088268	17.6012568289521	21.5282919397785
DAAM1	12.35480272618	28.9584105498286	12.35480272618	78.5328965470382	12.35480272618	44.5086935877462	27.0788567077284	44.5086935877462	20.5663406611192	28.9584105498286	20.5663406611192	44.5086935877462	20.5663406611192	78.5328965470382	27.0788567077284	78.5328965470382	27.0788567077284	28.9584105498286
DST	84.2090429001992	147.468004489478	84.2090429001992	399.921450130795	84.2090429001992	226.656370332363	184.566654500885	226.656370332363	140.1780264255	147.468004489478	140.1780264255	226.656370332363	140.1780264255	399.921450130795	184.566654500885	399.921450130795	184.566654500885	147.468004489478
NR4A1	2.88278729731509	11.8119831841821	2.88278729731509	32.033154990415	2.88278729731509	18.1548617560947	6.3183998865024	18.1548617560947	4.79881281183847	11.8119831841821	4.79881281183847	18.1548617560947	4.79881281183847	32.033154990415	6.3183998865024	32.033154990415	6.3183998865024	11.8119831841821
MOSPD1	2.05913378448862	9.3352770473909	2.05913378448862	25.3165257581801	2.05913378448862	14.348197216974	4.51314277759012	14.348197216974	3.42772343817962	9.3352770473909	3.42772343817962	14.348197216974	3.42772343817962	25.3165257581801	4.51314277759012	25.3165257581801	4.51314277759012	9.3352770473909
DUSP16	14.8257633461754	33.9118227313361	14.8257633461754	91.9661547618081	14.8257633461754	52.1220225244696	32.4946282131294	52.1220225244696	24.6796089177909	33.9118227313361	24.6796089177909	52.1220225244696	24.6796089177909	91.9661547618081	32.4946282131294	91.9661547618081	32.4946282131294	33.9118227313361
VAMP7	4.94191348713323	14.0982207519427	4.94191348713323	38.233248675873	4.94191348713323	21.6687786265374	10.8315260183396	21.6687786265374	8.22652360760009	14.0982207519427	8.22652360760009	21.6687786265374	8.22652360760009	38.233248675873	10.8315260183396	38.233248675873	10.8315260183396	14.0982207519427
