geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
COX1,,,,,yes,,,
COX2,,,,,yes,,,
COX5A,,,,,yes,,,
COX8A,,,,,yes,,,
CP,,yes,,,yes,,,yes
CPA4,,,,yes,,,,
CPA6,,,,yes,,,,
CPB1,,,,,yes,,,
CPB2,yes,,,,,,,
CPEB4,,yes,,,,,,
CPNE8,,yes,,,,,,
CPOX,,,,,yes,,,
CPQ,,yes,,,yes,,,
CR1,,,yes,,yes,,,yes
CR2,,,,,yes,yes,yes,
CRABP1,,,,,yes,,,
CRABP2,,,,yes,yes,,,
CREB1,,,,,yes,,,
CREB3L1,,,,yes,,,,
CREB5,,,,yes,,,,
CREBRF,,,,yes,yes,,,
CRH,,,,,yes,,,
CRHR1,,,,,yes,,,
CRHR2,,,,,yes,,,
CRIP2,,,,yes,,,,
CRISP2,,,,,yes,,,
CRISP3,,,,,,yes,,
CRISPLD2,,,,yes,,,,
CRK,,,,,yes,,,
CRP,yes,,,,yes,,yes,yes
CRYGD,,,,,yes,,,
CSE1L,,,,,yes,,,
CSF1,,yes,,yes,yes,,,
CSF1R,,,,,yes,,,
CSF2,,,,,yes,,,
CSF2RA,,,,,yes,,,
CSK,,,,,yes,,,
CSNK2B,,,,,yes,,,
CSRP1,,,,,yes,,,
CST3,,,,,yes,,,
CTA-125H2.2,,,,yes,,,,
CTC-454I21.3,,,,yes,,,,
CTD-2012K14.3,,,,yes,,,,
CTD-2012K14.4,,,,yes,,,,
CTD-2020K17.3,,,,yes,,,,
CTD-2201I18.1,,,,yes,,,,
CTD-2227E11.1,,,,yes,,,,
CTD-2228K2.7,,,,yes,,,,
CTD-2265M8.2,,,,yes,,,,
CTD-2358C21.4,,,,yes,,,,
CTD-2369P2.8,,,,yes,,,,
CTD-2547E10.2,,,,yes,,,,
CTD-2555C10.3,,,,yes,,,,
CTGF,,,,,yes,,,
CTH,,yes,,,,,,
CTHRC1,,,,,yes,,,
CTIF,,,,,yes,,,
CTLA4,,,yes,,yes,yes,yes,yes
CTRB1,,,,,yes,,,
CTSB,,,,,yes,yes,,
CTSD,,,,,yes,yes,,
CTSE,,,,yes,,,,
CTSK,,,,,yes,,,
CTSL,,,,,yes,,,
CTSS,,,,,yes,,,
CTU1,,yes,,,,,,
CUL1,,,,,yes,,,
CUL9,,,,,,yes,yes,
CX3CL1,,,,,yes,yes,,yes
CX3CR1,,,,,yes,yes,yes,yes
CXADR,,,,,yes,,,
CXCL1,,,,yes,yes,yes,,
CXCL10,,,,yes,yes,yes,,yes
CXCL11,,,,,yes,yes,,
CXCL12,,,,,yes,yes,yes,
CXCL13,,,,,yes,yes,yes,
CXCL16,,,,,yes,,,
CXCL2,,,,yes,yes,,,
CXCL3,,,,yes,,,,
CXCL5,,yes,,yes,,,,
CXCL6,,,,yes,yes,,,
CXCL8,,,,,yes,yes,yes,yes
CXCL9,,,,,yes,yes,,yes
CXCR1,,,,,yes,,,
CXCR2,,,,,yes,yes,,
CXCR3,,,,,yes,,yes,yes
CXCR4,,,,,yes,yes,yes,yes
CXCR5,,,,,yes,yes,yes,
CXCR6,,,,,yes,,,
CYB5A,,,,,yes,,,
CYB5R4,,yes,,,,,,
CYBB,,,,,yes,,,
CYCS,,,,,yes,,,
CYLD,,,,yes,yes,,,
CYP19A1,,,,,yes,yes,,
CYP1A2,,,,,yes,,,
CYP1B1,,,,yes,,,,
CYP26A1,,,,,yes,,,
CYP2B6,,,,,yes,,,yes
CYP2C19,,,,,yes,,,
CYP2D6,,,,,yes,,,
CYP2R1,,yes,,,,,,
CYP3A5,,,,,yes,,,
CYP51A1,,yes,,,,,,
CYP7B1,,,,,yes,,,
CYR61,,yes,,yes,yes,yes,,
DAB2,,yes,,,,,,
DAGLA,,yes,,,,,,
DAPK2,,,,yes,,,,
DAPK3,,,,yes,,,,
DAXX,,,,,yes,,,
DBA2,,,,,yes,yes,,yes
DCC,,,,,yes,,,
DCLRE1C,,,,,yes,,,
DCN,,,,,,,,yes
DCTN5,,yes,,,,,,
DCTN6,,,,,yes,,,
DCUN1D3,,yes,,,,,,
DDAH1,,,,,yes,,,
DDAH2,,,,,yes,,,
DDIT3,,yes,,yes,,,,yes
DDIT4,,,,yes,yes,,,
DDR1,,,,,,,,yes
DDR2,,,,,yes,,,
DDX19A,,,,,yes,,,
DDX39A,,,,,yes,,,
DDX39B,,,,,yes,,,
DDX46,,,,,yes,,,
DDX58,,,,,yes,,,
DDX6,,,,,yes,,,
DDX60,,,,yes,,,,
DDX60L,,,,yes,,,,
DECR1,yes,,,,yes,,,
DEDD,,,,,yes,,,
DEFA1,,,,,yes,,,
DEFA3,,,,,yes,,,
DEK,,,,,yes,,,
DENND1B,,yes,,,,,,
DES,,,,,yes,,,yes
DGKQ,,,,,,yes,,
DHFR,,,,,yes,,,
DHODH,,,,,yes,,,
DHX16,,,,,yes,,,
DHX32,,,,,yes,,,
DHX40,,,,,yes,,,
DHX9,,,,,,yes,,
DIAPH2,,,,yes,,,,
DICER1,,,,,yes,,,
DKK1,,,,,yes,,,
DKK2,,,,,yes,,,
DLEU7,,,,,yes,,,
DLGAP1-AS1,,,,yes,,,,
DLGAP1-AS2,,,,yes,,,,
DLK1,,,,yes,,,,
DLL1,,,,,yes,,yes,
DLST,,yes,,,,,,
DLX2,,,,yes,,,,
DNAH17,,,,yes,,,,
DNAH5,,,,yes,,,,
DNAJA2,,,,,yes,,,
DNAJB4,,,,,yes,,,
DNAJB6,,,,,yes,,,
DNAJC14,,,,,yes,,,
DNAJC2,,,,,yes,,,
DNAJC6,,yes,,,,,,
DNASE1,,,,,,,,yes
DNASE1L3,,,,,yes,,,
DNASE2,,,,,yes,,,
DNER,,,,,yes,,,
DNMT1,,,,,yes,,,
DNMT3A,,,,,,,yes,
DNMT3AP1,,,,,,,yes,
DNMT3B,,,,,,,yes,
DPP4,,,,,yes,,,
DR1,,,,,yes,,,
DSTN,,,,,,yes,,
DTNA,,yes,,,,,,
DUOX2,,,,yes,,,,
DUSP1,,yes,,yes,yes,,,
DUSP10,,yes,,,,,,
DUSP6,,,,,yes,,,
DUSP8,,,,yes,,,,
DXO,,yes,,,,,,
E2F1,,,,,yes,yes,,
E2F2,,,,,yes,,,
EBAG9,,,,,yes,,,
EBF3,,,,,yes,,,
EBI3,,,,,yes,yes,,
EBNA1BP2,,,,,yes,,,
EBP,,,,,yes,,,
EDA,,,,,yes,yes,,
EDA2R,,,,,,yes,,
EDN1,yes,,,yes,yes,,,
EDNRA,,,,,yes,,,
EDNRB,,,,,yes,,,
EEF1A2,,,,yes,,,,
EFEMP2,,,,,yes,,,
EFNA5,,,,yes,,,,
EFNB1,,,,,yes,,,
EFNB2,,,,,yes,,,
EGF,,,,,yes,,,yes
EGFL8,,,,,yes,,,
EGFR,,,,,yes,yes,,
EGLN1,,,,,yes,,,
EGR1,,,,yes,yes,,,
EGR2,,,,yes,yes,,,
EGR3,,,,yes,,,,
EHMT2,,,,,yes,,,
EIF1,,,,,,,,yes
EIF4EBP1,,,,,yes,,,
EIF4EBP2,,,,,yes,,,
ELANE,,,,,yes,,,yes
ELAVL1,,,,,yes,,,
ELAVL2,,,,,,yes,,
ELF3,,,,yes,yes,,,
ELK1,,yes,,,,,,
ELMO1,,,,,yes,,,
ELMSAN1,,,,yes,,,,
EMB,,,,,,,,yes
EMCN,,,,,yes,,,
EMD,,,,,yes,,,
EMP3,,,,yes,,,,
EMX1,,,,yes,,,,
ENG,,,,,yes,,,
ENGASE,,,,,yes,,,
ENO1,,,,,yes,,,
ENO2,,,,yes,,,,
ENOX1,,,,,yes,,,
ENPP1,,,,,yes,,,
ENPP2,,,,,yes,,,
EPAS1,,,,,yes,,,
EPHA1,,,,,yes,,,
EPHA3,,,,,yes,,,
EPHB1,,,,,yes,,,
EPHB2,,,,,yes,yes,,
EPHB3,,,,yes,,,,
