geneSymbol,Antiphospholipid_Syndrome,hepC_3,Autoimmune_hemolytic_anemia,hepC_1,Rheumatoid_Arthritis,Sjogrens_Syndrome,Immune_thrombocytopenic_purpura,Glomerulonephritis
TRIM31,,,,,yes,,,
TRIM31-AS1,,,,,yes,,,
TRIM38,,,,,yes,,,
TRIM39,,,,,yes,,,
TRIM39-RPP21,,,,,yes,,,
TRIM40,,,,,yes,,,
TRIM47,,,,yes,,,,
TRIM50,,,,yes,,,,
TRIM68,,,,,,yes,,
TROVE2,,,,,,yes,yes,
TRPC1,,,,,yes,,,
TRPC5,,,,,yes,,,
TRPM3,,,,yes,,,,
TRPV1,,yes,,,yes,,,
TRPV2,,,,yes,yes,,,
TSC22D3,,,,,yes,,,
TSHR,yes,,,,,,,
TSHZ1,,,,,,,yes,
TSLP,,,yes,,yes,,,
TSPAN33,,,,,yes,,,
TSPAN5,,yes,,,,,,
TTC21A,,,,yes,,,,
TTC25,,,,yes,,,,
TTN,,,,,yes,,,
TUBB,,,,,,,yes,
TXLNA,,,,,,yes,,
TXN,,,,,yes,yes,,
TXNDC5,,,,,yes,,,
TXNIP,,yes,,,yes,,,
TXNRD1,,,,,yes,,,
TXNRD3,,yes,,,,,,
TYK2,,,,,yes,,,
TYMP,,,,,yes,,,
TYMS,,,,,yes,,,
TYROBP,,,,,yes,,,
TYW3,,yes,,,,,,
TYW5,,yes,,,,,,
UACA,,,,yes,,,,
UAP1L1,,yes,,yes,,,,
UBA7,,,,,yes,,,
UBASH3A,,,,,yes,,,
UBASH3B,,,,yes,,,,
UBE2L3,,,,,yes,,,
UBE2L6,,yes,,,,,,
UBL5,,yes,,,,,,
UBTF,,,,,yes,yes,,
UCA1,,,,yes,,,,
UCN,,,,,yes,,,
UCN2,,,,,yes,,,
UCN3,,,,,yes,,,
UGCG,,,,,yes,,,
UGT1A1,,,,yes,,,,
UGT1A10,,,,yes,,,,
UGT1A3,,,,yes,,,,
UGT1A4,,,,yes,,,,
UGT1A5,,,,yes,,,,
UGT1A6,,,,yes,,,,
UGT1A7,,,,yes,,,,
UGT1A8,,,,yes,,,,
UGT1A9,,,,yes,,,,
UHRF1,,,,,yes,,,
UHRF1BP1,,,,,yes,,,
ULBP1,,,,yes,,,,
UNC5B,,,,yes,yes,,,
UNC5C,,,,,yes,,,
UQCC2,,,,,yes,,,
URGCP,,,,,yes,,,
URI1,,,,,yes,,,
USO1,,,,,yes,yes,,
USP14,,,,,yes,,,
VAC14,,,,,,yes,,
VAMP7,,yes,,,,,,
VARS,,,,,yes,,,
VARS2,,,,,yes,,,
VCAM1,,,,,yes,,,yes
VDR,,,,,yes,,yes,
VEGFA,,,,,yes,,,yes
VEGFC,,,,,yes,,,
VEGFD,,,,,yes,,,
VGF,,,,yes,,,,
VHL,,,,,,,,yes
VIL1,,,,,yes,,,
VIM,,,,,yes,,,
VIP,,,,,yes,yes,,
VIPR1,,,,,yes,,,
VIPR2,,,,,,yes,,
VLDLR,,yes,,,,,,
VNN1,,,,yes,,,yes,
VNN3,,,,yes,,,,
VPREB1,,,,,yes,,,
VPS18,,yes,,,,,,
VPS37C,,,,,yes,,,
VPS51,,,,,yes,,,
VPS52,,,,,yes,,,
VSIG10L,,,,yes,,,,
VSIG4,,,,,yes,,,
VSTM1,,,,,yes,,,
VTCN1,,,,,yes,,,
VTN,,,,,yes,,,
VWA7,,,,,yes,,,
VWF,,,,,yes,,yes,
WARS,,,,,yes,,,
WARS2,,,,,yes,,,
WDFY4,,,,,yes,,,
WDHD1,,,,,,yes,,
WDR11,,,,,yes,,,
WDR27,,,,,yes,,,
WDR66,,,,yes,,,,
WDSUB1,,yes,,,,,,
WG,,,,,yes,,,yes
WIF1,,,,,yes,,,
WISP3,,,,,yes,,,
WNK1,,,,,yes,,,
WNT1,,,,,yes,,,
WNT10B,,,,,yes,,,
WNT2,,,,,yes,,,
WNT5A,,,,,yes,,,
WT1,,,,,,,,yes
WWC1,,,,yes,,,,
XBP1,,,,,yes,,,
XBP1P1,,,,,yes,,,
XCL1,,,,,yes,,,
XDH,,,,yes,,yes,,
XIAP,,,,,yes,,,
XPR1,,,,,yes,,,
XRCC1,,,,,yes,,,
YME1L1,,,,,yes,,,
YWHAE,,,,,yes,,,
YWHAZ,,,,,yes,,,yes
ZAP70,,,,,yes,,,
ZBTB10,,yes,,,,,,
ZBTB16,,,,,yes,,,
ZBTB21,,yes,,yes,,,,
ZBTB22,,,,,yes,,,
ZBTB7A,,,,,yes,,,
ZC3H12A,,,,yes,,,,
ZC3H12C,,yes,,yes,,,,
ZC3H12D,,,,yes,,,,
ZC3H6,,yes,,,,,,
ZC3HC1,,,,,yes,,,
ZCCHC2,,,,,yes,,,
ZDHHC2,,,,,yes,,,
ZEB2,,,,yes,,,,
ZFAS1,,,,,yes,,,
ZFHX2,,yes,,,,,,
ZFP36,,,,,yes,,,
ZFP36L1,,yes,,,,,,
ZFP42,,,,,yes,,,
ZFYVE9,,,,,yes,,,
ZGLP1,,,,yes,,,,
ZKSCAN4,,,,,yes,,,
ZMYM5,,yes,,,,,,
ZNF135,,,,yes,,,,
ZNF165,,,,yes,,,,
ZNF224,,yes,,,,,,
ZNF232,,yes,,,,,,
ZNF292,,,,,yes,,,
ZNF302,,,,,yes,,,
ZNF334,,,,,yes,,,
ZNF354B,,,,yes,,,,
ZNF416,,,,yes,,,,
ZNF419,,,,yes,,,,
ZNF423,,,,,yes,,,
ZNF449,,,,yes,,,,
ZNF528,,,,yes,,,,
ZNF544,,yes,,,,,,
ZNF550,,,,yes,,,,
ZNF57,,yes,,,,,,
ZNF571,,,,yes,,,,
ZNF585A,,,,yes,,,,
ZNF585B,,,,yes,,,,
ZNF597,,,,yes,,,,
ZNF615,,,,yes,,,,
ZNF644,,,,,yes,,,
ZNF669,,yes,,,,,,
ZNF778,,yes,,,,,,
ZNF789,,yes,,,,,,
ZNF823,,,,yes,,,,
ZNF852,,yes,,,,,,
ZNRD1ASP,,,,,yes,,,
ZSCAN12P1,,,,yes,,,,
ZSCAN18,,,,yes,,,,
ZSCAN26,,,,,yes,,,
